ParasiteCorrectedName_Zooscores_VR_Ver5.0_Final,Insect,GenusOnly,Commensal.,ZooScore,ConfidenceScore,XC_ZooScore,XC_CScore,XC_Notes,XC_WhoBy,XC_Date,PGF_ZooScore,PGF_CScore,PGF_notes,Non.GMPD,SearchStringGoog,Googlehits.As of 2.8.2017.,SearchStringWOS,WOShits .As of 2.6.2017.,Notes,Citation,PrintRef,WhoBy,DateEntry,XCCitation,PGF Citation,PGF more citations,Nematode,GMPD_traits,GMPD_tax,Google,Tao note,GMPDtraits,GMPDtax,ParasiteCorrectedName updated,Match,disease,disease note
Profilicollis botulus,NA,0,,-1,3,-1,3,,VR,42668,,,,0,Profilicollis botulus,165,Profilicollis botulus,18,eider ducks,Thompson 1985,,VR,42668,,,,NA,0,1,No,,,,Profilicollis botulus,Profilicollis botulus,,
Profilicollis major,NA,0,,,,-1,3,,VR,42668,,,,0,Profilicollis major,189,Profilicollis major,7,,"Mayer et al., 2003",,VR,42668,,,,NA,0,0,Yes,"Nickol, Brent B., D. W. T. Crompton, and D. W. Searle. ""Reintroduction of Profilicollis Meyer, 1931, as a genus in Acanthocephala: significance of the intermediate host."" The Journal of parasitology (1999): 716-718.",Polymorphus major,Polymorphus major,Polymorphus major,Polymorphus major,,
Propionibacterium avidum,NA,0,,?,?,0,2,,VR,42668,,,,0,Propionibacterium avidum,1450,Propionibacterium avidum,61,bacteria (Ecology: isolated from intertriginous skin areas),Gideon,Gideon,VR,42668,,,,NA,0,1,No,,,,Propionibacterium avidum,Propionibacterium avidum,,
Prosarcoptes pitheci,NA,0,,0,1,-1,3,,VR,42668,,,,0,Prosarcoptes pitheci,5,Prosarcoptes pitheci,0,,Smiley and O'Connor 2009,,VR,42668,,,,NA,0,1,No,,,,Prosarcoptes pitheci,Prosarcoptes pitheci,,
Prosthenorchis elegans,NA,0,,?,?,-1,3,,VR,42668,,,,0,Prosthenorchis elegans,256,Prosthenorchis elegans,8,,Michaud et al. 2003,,VR,42668,,,,NA,0,1,No,,,,Prosthenorchis elegans,Prosthenorchis elegans,,
Prosthenorchis spirula,NA,0,,,,-1,3,,VR,42668,,,,0,Prosthenorchis spirula,71,Prosthenorchis spirula,0,,Amin 2013,,VR,42668,,,,NA,0,1,No,,,,Prosthenorchis spirula,Prosthenorchis spirula,,
Prosthodendrium naviculum,NA,0,,,,-1,3,,VR,42668,,,,0,Prosthodendrium naviculum,35,Prosthodendrium naviculum,0,,Lotz and Font 1983,,VR,42668,,,,NA,0,1,No,,,,Prosthodendrium naviculum,Prosthodendrium naviculum,,
Protenterobius nycticebi,NA,0,,,,-1,3,,VR,42668,,,,0,Protenterobius nycticebi,10,Protenterobius nycticebi,1,,"Foitova et al., 2008",,VR,42668,,,,NA,0,0,Yes,"Lemuricola= Protenterobius (Foitov , I., et al. ""Two remarkable pinworms (Nematoda: Enterobiinae) parasitizing orangutan (Pongo abelii) in the Sumatra (Indonesia) including Lemuricola (Protenterobius) pongoi n. sp."" Helminthologia 45.4 (2008): 162-168.).",Lemuricola nycticebi,,Lemuricola nycticebi,Lemuricola nycticebi,,
Proteus mirabilis,NA,0,,0,1,0,1,,VR,42668,,,,0,Proteus mirabilis,146000,Proteus mirabilis,3966,"Commonly associated with urinary tract infection, bacteremia and a variety of other systemic infections.",Gideon,Gideon,VR,42668,,,,NA,0,1,No,,,,Proteus mirabilis,Proteus mirabilis,,
Proteus vulgaris,NA,0,,,,0,1,,VR,42667,,,,0,Proteus vulgaris,74400,Proteus vulgaris,1568,,Gideon,,VR,42667,,,,NA,0,1,No,,,,Proteus vulgaris,Proteus vulgaris,,
Protofilaria furcata,NA,0,,,,-1,3,,VR,42667,,,,0,Protofilaria furcata,23,Protofilaria furcata,0,,Anderson 1961,,VR,42667,,,,NA,0,1,No,,,,Protofilaria furcata,Protofilaria furcata,,
Protospirura muricola,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protospirura muricola,232,Protospirura muricola,25,rodent nematode,"Smales et al., 2009",,VR,42667,,,,NA,0,1,No,,,,Protospirura muricola,Protospirura muricola,,
Protospirura numidica,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protospirura numidica,101,Protospirura numidica,4,Pampean grassland mouse,Sutton 1989,,VR,42667,,,,NA,0,1,No,,,,Protospirura numidica,Protospirura numidica,,
Protostrongylus africanus,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protostrongylus africanus,51,Protostrongylus africanus,0,,Dinnik and Sachs 1968,,VR,42667,,,,NA,0,1,No,,,,Protostrongylus africanus,Protostrongylus africanus,,
Protostrongylus hobmaieri,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protostrongylus hobmaieri,80,Protostrongylus hobmaieri,2,,Dougherty and Goble 1946,,VR,42667,,,,NA,0,1,No,,,,Protostrongylus hobmaieri,Protostrongylus hobmaieri,,
Protostrongylus rufescens,NA,0,,-1,2,-1,2,,VR,42667,,,,0,Protostrongylus rufescens,489,Protostrongylus rufescens,33,big horn sheep in California,"Jabbar et al., 2013",,VR,42667,,,,NA,0,1,No,,,,Protostrongylus rufescens,Protostrongylus rufescens,,
Protostrongylus rupicaprae,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protostrongylus rupicaprae,74,Protostrongylus rupicaprae,3,,"Nocture et al., 1998",,VR,42667,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Protostrongylus rupicaprae,,,
Protostrongylus rushi,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protostrongylus rushi,109,Protostrongylus rushi,3,,"Samson et al., 1987",,VR,42667,,,,NA,0,1,No,,,,Protostrongylus rushi,Protostrongylus rushi,,
Protostrongylus shiozawai,NA,0,,-1,2,-1,3,,VR,42667,,,,0,Protostrongylus shiozawai,22,Protostrongylus shiozawai,1,,Ohbayashi and Ueno 1974,,VR,42667,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Protostrongylus shiozawai,,,
Protostrongylus stilesi,NA,0,,-1,2,-1,2,,VR,42667,,,,0,Protostrongylus stilesi,386,Protostrongylus stilesi,12,,"Jenkins et al., 2005",,VR,42667,,,,NA,0,1,No,,,,Protostrongylus stilesi,Protostrongylus stilesi,,
Prototapirella gorillae,NA,0,,,,-1,3,,VR,42667,,,,0,Prototapirella gorillae,22,Prototapirella gorillae,3,,"Freeman et al., 2004",,VR,42667,,,,NA,0,1,No,,,,Prototapirella gorillae,Prototapirella gorillae,,
Prouterina wescotti,NA,0,,,,-1,3,,VR,42667,,,,0,Prouterina wescotti,13,Prouterina wescotti,2,,"Foreyt et al., 1996",,VR,42667,,,,NA,0,1,No,,,,Prouterina wescotti,Prouterina wescotti,,
Providencia stuartii,NA,0,,0,2,0,1,,VR,42667,,,,0,Providencia stuartii,9180,Providencia stuartii,382,"bacteria infection (Ecology: Associated with urinary tract infection, bacteremia, burn wound infection and other systemic infections.)",Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Providencia stuartii,Providencia stuartii,,
Pseudamphistomum truncatum,NA,0,,,,-1,3,,VR,42667,,,,0,Pseudamphistomum truncatum,258,Pseudamphistomum truncatum,25,,"Sherrard-Smith et al., 2009",,VR,42667,,,,NA,0,1,No,,,,Pseudamphistomum truncatum,Pseudamphistomum truncatum,,
Pseudomonas aeruginosa,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas aeruginosa,983000,Pseudomonas aeruginosa,66616,bacteria isolated from soil and water,Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,,
Pseudomonas alcaligenes,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas alcaligenes,46700,Pseudomonas alcaligenes,2155,"found in water, food, and hospital equipment ",Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas alcaligenes,Pseudomonas alcaligenes,,
Pseudomonas aureus,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas aureus,571000,Pseudomonas aureus,1517,"found in water, food, and hospital equipment ",Gideon,Gideon,VR,42667,,,,NA,0,0,Yes,"I found Staphylococcus aureus and Pseudomonas aeruginosa, but Pseudomonas aureus.",,,Pseudomonas aureus,,,
Pseudomonas fluorescens,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas fluorescens,128000,Pseudomonas fluorescens,10252,found in soil and water,Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas fluorescens,Pseudomonas fluorescens,,
Pseudomonas luteola,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas luteola,3880,Pseudomonas luteola,244,found in environment (occasionally in humans),Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas luteola,Pseudomonas luteola,,
Pseudomonas putida,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas putida,115000,Pseudomonas putida,12283,,Gideon,Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas putida,Pseudomonas putida,,
Pseudomonas stutzeri,NA,0,,0,1,0,1,,VR,42667,,,,0,Pseudomonas stutzeri,25100,Pseudomonas stutzeri,1834,,"Park et al., 2013",Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudomonas stutzeri,Pseudomonas stutzeri,,
Pseudoterranova cattani,NA,0,,,,1,3,,VR,42667,,,,0,Pseudoterranova cattani,111,Pseudoterranova cattani,7,,"Torres et al., 2007",,VR,42667,,,,NA,0,1,No,,,,Pseudoterranova cattani,Pseudoterranova cattani,,
Pseudoterranova decipiens,NA,0,,0,1,1,1,,VR,42667,,,,0,Pseudoterranova decipiens,2360,Pseudoterranova decipiens,188,under cooked fish,"Mercado et al., 2001",Gideon,VR,42667,,,,NA,0,1,No,,,,Pseudoterranova decipiens,Pseudoterranova decipiens,,
Psorobia cercopitheci,NA,0,,,,-1,3,,VR,42667,,,,0,Psorobia cercopitheci,19,Psorobia cercopitheci,1,,"Zumpt et al., 1955",,VR,42667,,,,NA,0,0,Yes,"Psorobia (formerly Psorergates) (Atkins, Adrienne, et al. ""Hyperplastic dermatitis associated with acariasis in a siamang (Symphalangus syndactylus)."" Journal of zoo and wildlife medicine 39.4 (2008): 638-641.).",Psorergates cercopitheci,,Psorergates cercopitheci,Psorergates cercopitheci,,
Psoroptes cervinus,NA,0,,,,-1,3,,VR,42667,,,,0,Psoroptes cervinus,57,Psoroptes cervinus,3,,"Muschenheim et al., 1990",,VR,42667,,,,NA,0,1,No,,,,Psoroptes cervinus,Psoroptes cervinus,,
Psoroptes cuniculi,NA,0,,,,1,2,,VR,42667,,,,0,Psoroptes cuniculi,1860,Psoroptes cuniculi,180,,"Swarnakar et al., 2014",,VR,42667,,,,NA,0,1,No,,,,Psoroptes cuniculi,Psoroptes cuniculi,,
Psoroptes equi,NA,0,,,,-1,2,,VR,42667,,,,0,Psoroptes equi,745,Psoroptes equi,7,,Wall and Kolbe 2006,,VR,42667,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Psoroptes equi,,,
Psoroptes ovis,NA,0,,,,-1,2,,VR,42667,,,,0,Psoroptes ovis,3510,Psoroptes ovis,356,,"Broek et al., 2000",,VR,42667,,,,NA,0,1,No,,,,Psoroptes ovis,Psoroptes ovis,,
Psoroptes pienaari,NA,0,,,,-1,3,,VR,42667,,,,0,Psoroptes pienaari,16,Psoroptes pienaari,1,,Wall and Kolbe 2006,,VR,42667,,,,NA,0,1,No,,,,Psoroptes pienaari,Psoroptes pienaari,,
Psychrobacter phenylpyruvicus,NA,0,,,,0,3,,VR,42664,,,,0,Psychrobacter phenylpyruvicus,219,Psychrobacter phenylpyruvicus,14,,"Stepanovic et al., 2007",,VR,42664,,,,NA,0,1,No,,,,Psychrobacter phenylpyruvicus,Psychrobacter phenylpyruvicus,,
Pterygodermatites affinis,NA,0,,,,-1,3,,VR,42664,,,,0,Pterygodermatites affinis,99,Pterygodermatites affinis,9,,"Gortazar et al., 1998",,VR,42664,,,,NA,0,1,No,,,,Pterygodermatites affinis,Pterygodermatites affinis,,
Pterygodermatites nycticebi,NA,0,,,,-1,3,,VR,42664,,,,0,Pterygodermatites nycticebi,46,Pterygodermatites nycticebi,9,,"Sato et al., 2003",,VR,42664,,,,NA,0,1,No,,,,Pterygodermatites nycticebi,Pterygodermatites nycticebi,,
Pygidiopsis summa,NA,0,,0,1,0,2,,VR,42664,,,,0,Pygidiopsis summa,291,Pygidiopsis summa,14,,"Seo et al., 1981",Gideon,VR,42664,,,,NA,0,1,No,,,,Pygidiopsis summa,Pygidiopsis summa,,
Rahnella aquatilis,NA,0,,0,1,0,2,,VR,42664,,,,0,Rahnella aquatilis,2410,Rahnella aquatilis,194,,"Maraki et al., 1994",Gideon,VR,42664,,,,NA,0,1,No,,,,Rahnella aquatilis,Rahnella aquatilis,,
Raillietina alouattae,NA,0,,,,-1,3,,VR,42664,,,,0,Raillietina alouattae,51,Raillietina alouattae,0,,"Stuart et al., 1998",,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Raillietina alouattae,,,
Raillietina dermeriensis,NA,0,,,,-1,3,,VR,42664,,,,0,Raillietina dermeriensis,0,Raillietina dermeriensis,0,,NEED,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Raillietina dermeriensis,,,
Raillietina multitesticulata,NA,0,,,,-1,3,,VR,42664,,,,0,Raillietina multitesticulata,25,Raillietina multitesticulata,0,,Perkins 1950,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Raillietina multitesticulata,,,
Raillietostrongylus samoensis,NA,0,,,,-1,3,,VR,42664,,,,0,Raillietostrongylus samoensis,7,Raillietostrongylus samoensis,0,,Myers and Kuntz 1964,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Raillietostrongylus samoensis,,,
Rangiferine herpesvirus 1,NA,0,,,,-1,3,,VR,42664,,,,0,Rangiferine herpesvirus 1,150,Rangiferine herpesvirus 1,8,,Ros and Belak 1999,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rangiferine herpesvirus 1,,,
Respirovirus bovine parainfluenza virus 3,NA,3,,,,-1,2,,VR,42664,,,,0,Respirovirus bovine parainfluenza virus 3,904,Respirovirus bovine parainfluenza virus 3,6,,"Horwood et al., 2008",,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Respirovirus bovine parainfluenza virus 3,,,
Respirovirus Human parainfluenza virus 1,NA,3,,,,0,1,,VR,42664,,,,0,Respirovirus Human parainfluenza virus 1,1480,Respirovirus Human parainfluenza virus 1,3,,"Bousse et al., 2006",,VR,42664,,,,NA,0,1,No,,,,Respirovirus Human parainfluenza virus 1,Respirovirus Human parainfluenza virus 1,,
Respirovirus Human parainfluenza virus 3,NA,3,,,,0,2,,VR,42664,,,,0,Respirovirus Human parainfluenza virus 3,1480,Respirovirus Human parainfluenza virus 3,9,,"Zhang et al., 2005",,VR,42664,,,,NA,0,1,No,,,,Respirovirus Human parainfluenza virus 3,Respirovirus Human parainfluenza virus 3,,
Retortamonas intestinalis,NA,0,,2,1,0,2,,VR,42664,0,1,"Flagged_because_not_necessarily_in_non-humans,_so_""0""_might_not_be_correct.__According_to_CDC,_R._intestinalis_is_a_nonpathogenic_flagellate_that_lives_in_the_gastrointestinal_tract_(although_Kawamura_et_al._2001_found_it_in_bile/pancreatic_juice).__People_acquire_it_via_consumption_of_contaminated_water_and_food_or_via_hands/formites_with_infective_cycles.__From_CDC's_diagram,_looks_like_it_is_maintained_sans_animal_reservoir:__http://www.cdc.gov/dpdx/retortamonas/.__There_is_a_Giardia_intestinalis_on_GIDEON,_but_not_sure_why_original_scorers_thought_it_was_the_same_as_R._intestinalis?__Kawamura_et_al._2001_describe_a_case_where_the_infected_man_lived_in_an_urban_area_and_kept_a_dog,_but_had_no_contact_with_other_domestic_animals.__R._intestinalis_is_usually_associated_with_a_warm_climate_and_poor_sanitation.__!!!!_IMP:_""The_presense_of_this_protozoon_has_not_been_reported_in_nonhuman_hosts""",0,Retortamonas intestinalis,327,Retortamonas intestinalis,5,,Kawamura et al. 2001,Gideon,VR,42664,,,,NA,0,1,No,,,,Retortamonas intestinalis,Retortamonas intestinalis,,
Rhabdovirus Mossuril,NA,3,,,,-1,3,,VR,42664,,,,0,Rhabdovirus Mossuril,68,Rhabdovirus Mossuril,0,,"Karabatsos et al., 1973",,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rhabdovirus Mossuril,,,
Rhadinovirus Alcelaphine herpesvirus 1,NA,3,,,,-1,2,,VR,42664,,,,0,Rhadinovirus Alcelaphine herpesvirus 1,445,Rhadinovirus Alcelaphine herpesvirus 1,11,,"Dry et al., 2008",,VR,42664,,,,NA,0,0,Yes,"the genus Rhadinovirus, alcelaphine gammaherpesvirus 1 (AIHV-1) and its closer relatives are now classified in the genus Macavirus (Ensser, Armin. ""Genome Sequence of the Alcelaphine Gammaherpesvirus 1 Attenuated Laboratory Strain WC11."" Genome announcements 5.45 (2017): e01219-17.)",Macavirus Alcelaphine gammaherpesvirus 1,Macavirus Alcelaphine gammaherpesvirus 1,Macavirus Alcelaphine gammaherpesvirus 1,Macavirus Alcelaphine gammaherpesvirus 1,,
Rhadinovirus Bovine herpesvirus 4,NA,3,,,,-1,2,,VR,42664,,,,0,Rhadinovirus Bovine herpesvirus 4,1780,Rhadinovirus Bovine herpesvirus 4,17,,"Monge et al., 2006",,VR,42664,,,,NA,0,0,Yes,"Bovine herpesvirus 4 (BoHV-4) is a gammaherpesvirus of cattle (Zimmermann, Wolfgang, et al. ""Genome sequence of bovine herpesvirus 4, a bovine Rhadinovirus, and identification of an origin of DNA replication."" Journal of virology 75.3 (2001): 1186-1194.).",Rhadinovirus Bovine gammaherpesvirus 4,,Rhadinovirus Bovine gammaherpesvirus 4,Rhadinovirus Bovine gammaherpesvirus 4,,
Rhadinovirus Equid herpesvirus 2,NA,3,,,,-1,2,,VR,42664,,,,0,Rhadinovirus Equid herpesvirus 2,815,Rhadinovirus Equid herpesvirus 2,1,,Allen and Murray 2004,,VR,42664,,,,NA,0,0,Yes,,Rhadinovirus Equid gammaherpesvirus 2,,Rhadinovirus Equid gammaherpesvirus 2,Rhadinovirus Equid gammaherpesvirus 2,,
Rhadinovirus human herpesvirus 8,NA,3,,,,3,1,,VR,42664,,,,0,Rhadinovirus human herpesvirus 8,3200,Rhadinovirus human herpesvirus 8,95,,"Neipel et al., 1998",,VR,42664,,,,NA,0,0,Yes,,Rhadinovirus Human gammaherpesvirus 8,,Rhadinovirus Human gammaherpesvirus 8,Rhadinovirus Human gammaherpesvirus 8,,
Rhadinovirus Phacochoerus africanus lymphotropic herpesvirus 1,NA,3,,,,-1,3,,VR,42664,,,,0,Rhadinovirus Phacochoerus africanus lymphotropic herpesvirus 1,5,Rhadinovirus Phacochoerus africanus lymphotropic herpesvirus 1,1,,Ehlers and Lowden 2004,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rhadinovirus Phacochoerus africanus lymphotropic herpesvirus 1,,,
Rhadinovirus Suiformes rhadinovirus genogroup 1,NA,3,,,,-1,1,,VR,42664,,,,0,Rhadinovirus Suiformes rhadinovirus genogroup 1,2,Rhadinovirus Suiformes rhadinovirus genogroup 1,0,,"Schultz et al., 2000",,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files (2018/07/29).,,,Rhadinovirus Suiformes rhadinovirus genogroup 1,,,
Rhinoestrus antidorcitis,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinoestrus antidorcitis,17,Rhinoestrus antidorcitis,1,,Horak 2005,,VR,42664,,,,NA,0,1,No,,,,Rhinoestrus antidorcitis,Rhinoestrus antidorcitis,,
Rhinoestrus steyni,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinoestrus steyni,25,Rhinoestrus steyni,0,,Zumpt 1958,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rhinoestrus steyni,,,
Rhinoestrus tschernyshevi,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinoestrus tschernyshevi,1,Rhinoestrus tschernyshevi,0,,Capelle 1966,,VR,42664,,,,NA,0,1,No,,,,Rhinoestrus tschernyshevi,Rhinoestrus tschernyshevi,,
Rhinoestrus usbekistanicus,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinoestrus usbekistanicus,66,Rhinoestrus usbekistanicus,12,,"Otranto et al., 2004",,VR,42664,,,,NA,0,1,No,,,,Rhinoestrus usbekistanicus,Rhinoestrus usbekistanicus,,
Rhinoestrus vanzyli,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinoestrus vanzyli,28,Rhinoestrus vanzyli,0,,"De Villiers et al., 1985",,VR,42664,,,,NA,0,1,No,,,,Rhinoestrus vanzyli,Rhinoestrus vanzyli,,
Rhinomusca dutoiti,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinomusca dutoiti,12,Rhinomusca dutoiti,1,,"Mihok et al., 1996",,VR,42664,,,,NA,0,1,No,,,,Rhinomusca dutoiti,Rhinomusca dutoiti,,
Rhinophaga elongata,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinophaga elongata,2,Rhinophaga elongata,0,,"McConnell et al., 1971",,VR,42664,,,,NA,0,1,No,,,,Rhinophaga elongata,Rhinophaga elongata,,
Rhinophaga papionis,NA,0,,,,-1,3,,VR,42664,,,,0,Rhinophaga papionis,6,Rhinophaga papionis,0,,"McConnell et al., 1971",,VR,42664,,,,NA,0,1,No,,,,Rhinophaga papionis,Rhinophaga papionis,,
Rhinovirus human rhinovirus 30,NA,3,,,,0,1,,VR,42664,,,,0,Rhinovirus human rhinovirus 30,68200,Rhinovirus human rhinovirus 30,167,Found results for Human Rhinovirus only,Gideon,,VR,42664,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rhinovirus human rhinovirus 30,,,
Rhipicephalus lounsburyi,NA,0,,0,2,-1,3,,VR,42663,,,,,Rhipicephalus lounsburyi,58,Rhipicephalus lounsburyi,2,,Walker 1980,,VR,42663,,,,NA,0,1,No,,,,Rhipicephalus lounsburyi,Rhipicephalus lounsburyi,,
Rhodococcus equi,NA,0,,1,1,3,3,,VR,42663,3,3,"GIDEON:_bacterium,_reservoir_is_farm_animals_and_farm_soil.__No_vector;_vehicle_is_""?_inhalation,_contact,_ingestion.""__Often_infects_immuno_compromised_patients,_like_those_who_are_HIV_positive.__R._equi_is_common_in_soil_from_areas_where_pigs,_catt,_or_horses_are_raised.__Most_foals_with_infection_are_found_to_excrete_the_organism_in_exhaled_air.__R.equi_has_been_reported_in_camels,_pigs,_goats,_sheep,_llama,_cats,_and_dogs,_as_well_as_humans_and_horses.__Weinstock_&_Brown_2002_review_article:_First_human_case_was_from_a_man_working_in_a_stockyard,_cleaning_animal_pens.__""Exposure_to_domesticated_animals,_such_as_horses_and_pigs,_may_play_a_role_in_some_cases_of_infection._R._equi_is_found_in_the_soil_of_50%?95%_of_farms,_and_concentrations_are_high_in_horse_feces._In_Oklahoma,_which_Verville_et_al._claim_has_the_highest_numbers_of_horses_per_acre_and_horses_per_capita_in_the_United_States,_12_cases_of_R._equi_infection_were_treated_during_a_6-year_period_at_a_single_institution._However,_only_one-third_of_all_patients_with_R._equi_infection_have_a_history_of_exposure_to_horses_or_pigs""_[internal_citations_omitted]...""Other_routes_of_R._equi_acquisition,_including_human_colonization_and_person-to-person_transmission,_are_poorly_understood""_and_""At_least_3_nosocomial_cases_of_R._equi_have_been_reported_[29],_including_1_that_occurred_in_a_patient_who_developed_sepsis_and_hydrocephalus_from_an_infected_ventricular_shunt_2_weeks_after_hospitalization._Patient-to-patient_transmission_was_implicated_in_2_HIV-infected_patients_who_developed_R._equi_infections_after_sharing_a_room_with_another_HIV-infected_patient_who_had_R._equi_pneumonia.""__They_cite_Arlotti_et_al._1996_possible_human-to-human_transmission.__I_can't_access_that_article,_but_it's_abtract_says_""Presumptive_risks_of_infection_(contact_with_horses_or_farm_dust,_or_cohabiting_with_people_affected_by_R._equi_infection)_were_present_in_more_than_50%_of_patients._This_finding,_and_the_frequency_of_bacteria_in_the_sputum,_are_not_sufficient_proof_of_transmission_between_humans,_but_do_suggest_the_need_for_respiratory_isolation_of_patients_affected_by_R._equi_pneumonia.""__Seems_very_likely_there_is_zoonotic_transmission,_although_some_of_it_may_be_animal-soil-human.__Potential_for_human-to-human_transmission.",0,Rhodococcus equi,13100,Rhodococcus equi,1471,,Gideon,Gideon,VR,42663,,Weinstock & Brown 2002,Arlotti et al. 1996,NA,0,1,No,,,,Rhodococcus equi,Rhodococcus equi,,
Rhopalopsyllus lugubris lugubris,NA,0,,,,-1,3,,VR,42663,,,,0,Rhopalopsyllus lugubris lugubris,31,Rhopalopsyllus lugubris lugubris,2,,"Wells et al., 1981",,VR,42663,,,,NA,0,0,Yes,,Rhopalopsyllus lugubris,,Rhopalopsyllus lugubris,Rhopalopsyllus lugubris,,
Rhopalopsyllus lutzi,NA,0,,,,-1,3,,VR,42663,,,,0,Rhopalopsyllus lutzi,42,Rhopalopsyllus lutzi,3,,"Scofield et al., 2005",,VR,42663,,,,NA,0,1,No,,,,Rhopalopsyllus lutzi,Rhopalopsyllus lutzi,,
Rhyncoptes anastosi,NA,0,,,,-1,3,,VR,42663,,,,0,Rhyncoptes anastosi,7,Rhyncoptes anastosi,0,,"Wilson et al., 1989",,VR,42663,,,,NA,0,1,No,,,,Rhyncoptes anastosi,Rhyncoptes anastosi,,
Ribeiroia ondatrae,NA,0,,,,-1,2,,VR,42663,,,,0,Ribeiroia ondatrae,711,Ribeiroia ondatrae,70,,"Johnson et al., 2002",,VR,42663,,,,NA,0,1,No,,,,Ribeiroia ondatrae,Ribeiroia ondatrae,,
Rickettsia amblyommii,NA,0,,0,1,0,1,,VR,42663,,,,0,Rickettsia amblyommii,910,Rickettsia amblyommii,127,tick vector,"Labruna et al., 2004",,VR,42663,,,,NA,0,1,No,,,,Rickettsia amblyommii,Rickettsia amblyommii,,
Rickettsia conorii,NA,0,,0,1,0,1,,VR,42663,,,,0,Rickettsia conorii,8640,Rickettsia conorii,814,tick vector,"Ogata et al., 2001",,VR,42663,,,,NA,0,1,No,,,,Rickettsia conorii,Rickettsia conorii,,
Rickettsia DnS28,NA,1,,,,0,2,,VR,42663,,,,0,Rickettsia DnS28,105,Rickettsia DnS28,6,,"Mediannikov et al., 2008",,VR,42663,,,,NA,0,0,Yes,Can't find it on GMPD files.,,,Rickettsia DnS28,,,
Rickettsia helvetica,NA,0,,0,1,0,1,,VR,42663,,,,0,Rickettsia helvetica,2030,Rickettsia helvetica,250,tick vector,"Fournier et al., 2000",,VR,42663,,,,NA,0,1,No,,,,Rickettsia helvetica,Rickettsia helvetica,,
Rickettsia rickettsii,NA,0,,0,1,0,1,,VR,42663,,,,0,Rickettsia rickettsii,25500,Rickettsia rickettsii,702,tick vector,"Tsianabos et al., 1989",Gideon,VR,42663,,,,NA,0,1,No,,,,Rickettsia rickettsii,Rickettsia rickettsii,,
Rickettsia slovaca,NA,0,,0,1,0,1,,VR,42663,,,,0,Rickettsia slovaca,1850,Rickettsia slovaca,179,tick vector,"Raoult et al., 2002",Gideon,VR,42663,,,,NA,0,1,No,,,,Rickettsia slovaca,Rickettsia slovaca,,
Rictularia affinis,NA,0,,,,-1,3,,VR,42663,,,,0,Rictularia affinis,103,Rictularia affinis,4,,"Dalimi et al., 2006",,VR,42663,,,,NA,0,1,No,,,,Rictularia affinis,Rictularia affinis,,
Rictularia lemuris,NA,0,,,,-1,3,,VR,42663,,,,0,Rictularia lemuris,20,Rictularia lemuris,0,,"Yue et al., 1980",,VR,42663,,,,NA,0,0,Yes,,,,Rictularia lemuris,Rictularia lemuris,,
